root,level1_name,level1_id,level2_name,level2_id,level3_name,level3_id,level4_name,level4_id
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_BBGI,5080,Infrastructure_BBGI,5256
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_DNA1,5081,Infrastructure_DNA1,5257
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_DNA2,5082,Infrastructure_DNA2,5258
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_GCP,5083,Infrastructure_GCP,5259
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_HISL,5084,Infrastructure_HISL,5260
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_INPP,5085,Infrastructure_INPP,5261
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_JLIF,5086,Infrastructure_JLIF,5262
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_TRIG,5087,Infrastructure_TRIG,5263
MagBucket,Real Assets,5001,Infrastructure,5015,Infrastructure_UKW,5088,Infrastructure_UKW,5264
MagBucket,Total Return Strategies,5002,Absolute Return,5016,Absolute_Return_Funds_AICCY,5089,Absolute_Return_Funds_AICCY,5265
MagBucket,Total Return Strategies,5002,Absolute Return,5016,Absolute_Return_Funds_AICRD,5090,Absolute_Return_Funds_AICRD,5266
MagBucket,Total Return Strategies,5002,Absolute Return,5016,Absolute_Return_Funds_AIEMD,5091,Absolute_Return_Funds_AIEMD,5267
MagBucket,Total Return Strategies,5002,Absolute Return,5016,Absolute_Return_Funds_BNYARB,5092,Absolute_Return_Funds_BNYARB,5268
MagBucket,Total Return Strategies,5002,Absolute Return,5016,Absolute_Return_Funds_SMIF,5093,Absolute_Return_Funds_SMIF,5269
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Australian_Equity_Upside,5094,Breakout_SPI_Call_Spread_Collar,5270
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Chinese_Equity_Downside,5095,Breakout_HSCEI_Put_Spread_Collar,5271
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Chinese_Equity_Upside,5096,Breakout_HSCEI_Call_Spread_Collar,5272
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Emerging_Equity_Upside,5097,Breakout_EEM_Call_Spread_Collar,5273
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Emerging_Equity_Upside,5097,Breakout_EEM_Short_Put_Spread_Collar,5274
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_European_Equity_Upside,5098,Breakout_SX5E_Call_Spread_Collar,5275
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_German_Bond_Downside,5099,Breakout_Euro_Bund_Put_Spread_Collar,5276
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_German_Equity_Upside,5100,Breakout_DAX_Call_Spread_Collar,5277
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_German_Equity_Upside,5100,Breakout_DAX_Short_Put_Spread_Collar,5278
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Hong_Kong_Equity_Upside,5101,Breakout_HSI_Call_Spread_Collar,5279
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Italian_Equity_Downside,5102,Breakout_FTSEMIB_Put_Spread_Collar,5280
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Italian_Equity_Downside,5102,Breakout_FTSEMIB_Risk_Reversal,5281
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Italian_Equity_Upside,5103,Breakout_FTSEMIB_Call_Spread_Collar,5282
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Japanese_Equity_Upside,5104,Breakout_NKY_Call_Spread_Collar,5283
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Japanese_Equity_Upside,5104,Breakout_NKY_Short_Put_Spread_Collar,5284
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Korean_Equity_Downside,5105,Breakout_KOSPI2_Risk_Reversal,5285
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Swiss_Equity_Upside,5106,Breakout_SMI_Call_Spread_Collar,5286
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_Swiss_Equity_Upside,5106,Breakout_SMI_Risk_Reversal,5287
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_UK_Equity_Upside,5107,Breakout_UKX_Call_Spread_Collar,5288
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_UK_Equity_Upside,5107,Breakout_UKX_Call_Spread_Ratio,5289
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_UK_Equity_Upside,5107,Breakout_UKX_Risk_Reversal,5290
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_Bond_Upside,5108,Breakout_Treasury_Call_Spread_Collar,5291
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_Equity_Downside,5109,Breakout_SPX_Put_Spread_Collar,5292
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_Equity_Upside,5110,Breakout_SPX_Call,5293
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_Equity_Upside,5110,Breakout_SPX_Call_Spread_Collar,5294
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_Equity_Upside,5110,Breakout_SPX_Risk_Reversal,5295
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_High_Yield_Upside,5111,Breakout_HY_Call_Spread_Collar,5296
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_High_Yield_Upside,5111,Breakout_HY_Risk_Reversal,5297
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_Long_Bond_Downside,5112,Breakout_US_Long_Bond_Put,5298
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_US_Long_Bond_Upside,5113,Breakout_US_Long_Bond_Call_Spread_Collar,5299
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_VIX_Upside,5114,Breakout_VIX_Call,5300
MagBucket,Total Return Strategies,5002,Breakout,5017,Breakout_VIX_Upside,5114,Breakout_VIX_Call_Spread_Collar,5301
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_DEDZ5_Option_Upside,5115,Dividends_DEDZ5_Call_Spread_Collar,5302
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_DEDZ6_Future,5116,Dividends_DEDZ6_Future,5303
MagBucket,Total Return Strategies,5002,Dividends,5018,Dividends_DEDZ6_Option_Upside,5117,Dividends_DEDZ6_Call_Spread_Collar,5304
