,Strategy,
1993-07-08 00:00:00,3.57227E-05,
1993-07-09 00:00:00,-0.000593835,
1993-07-12 00:00:00,-0.000499432,
1993-07-13 00:00:00,0.004798191,
1993-07-14 00:00:00,0.002502311,
1993-07-15 00:00:00,-0.002470455,
1993-07-16 00:00:00,-0.003884134,
1993-07-19 00:00:00,0.001221982,
1993-07-20 00:00:00,0.001125715,
1993-07-21 00:00:00,-0.000104134,
1993-07-22 00:00:00,0.001931879,
1993-07-23 00:00:00,0.004114906,
1993-07-26 00:00:00,0.003131972,
1993-07-27 00:00:00,-0.000850278,
1993-07-28 00:00:00,-0.001646821,
1993-07-29 00:00:00,0.007058253,
1993-07-30 00:00:00,0.009885096,
1993-08-02 00:00:00,-0.00428195,
1993-08-03 00:00:00,0.001183848,
1993-08-04 00:00:00,-0.000254253,
1993-08-05 00:00:00,0.001444301,
1993-08-06 00:00:00,-0.001057612,
1993-08-09 00:00:00,-0.003630666,
1993-08-10 00:00:00,0.00359638,
1993-08-11 00:00:00,0.002514775,
1993-08-12 00:00:00,0.003439818,
1993-08-13 00:00:00,-0.001714698,
1993-08-16 00:00:00,-0.001530346,
1993-08-17 00:00:00,0.001539019,
1993-08-18 00:00:00,-0.003846781,
1993-08-19 00:00:00,-0.001126635,
1993-08-20 00:00:00,-0.002640421,
1993-08-23 00:00:00,0.003063768,
1993-08-24 00:00:00,-0.003574459,
1993-08-25 00:00:00,0.000930173,
1993-08-26 00:00:00,-0.001529061,
1993-08-27 00:00:00,-0.002916089,
1993-08-30 00:00:00,-0.00010335,
1993-08-31 00:00:00,0.004328893,
1993-09-01 00:00:00,-0.004060324,
1993-09-02 00:00:00,-0.004699973,
1993-09-03 00:00:00,-0.00600827,
1993-09-06 00:00:00,-0.001267739,
1993-09-07 00:00:00,0.000610205,
1993-09-08 00:00:00,0.004446256,
1993-09-09 00:00:00,-0.002335162,
1993-09-10 00:00:00,-0.001803066,
1993-09-13 00:00:00,0.001438887,
1993-09-14 00:00:00,-0.000289558,
1993-09-15 00:00:00,0.000226836,
1993-09-16 00:00:00,0.000444941,
1993-09-17 00:00:00,0.001444904,
1993-09-20 00:00:00,0.000744051,
1993-09-21 00:00:00,0.00380604,
1993-09-22 00:00:00,0.001528545,
1993-09-23 00:00:00,-0.001048337,
1993-09-24 00:00:00,0.001236062,
1993-09-27 00:00:00,-0.000208173,
1993-09-28 00:00:00,-0.000743537,
1993-09-29 00:00:00,-0.003056203,
1993-09-30 00:00:00,-0.000976254,
1993-10-01 00:00:00,0.000475949,
1993-10-04 00:00:00,0.000179591,
1993-10-05 00:00:00,0.000384784,
1993-10-06 00:00:00,0.004408544,
1993-10-07 00:00:00,-0.0006911,
1993-10-08 00:00:00,0.003730245,
1993-10-11 00:00:00,0.003459168,
1993-10-12 00:00:00,-0.001761836,
1993-10-13 00:00:00,-0.000414914,
1993-10-14 00:00:00,0.004406976,
1993-10-15 00:00:00,0.00033334,
1993-10-18 00:00:00,-0.001418091,
1993-10-19 00:00:00,4.54628E-05,
1993-10-20 00:00:00,0.000411279,
1993-10-21 00:00:00,0.002911187,
1993-10-22 00:00:00,0.000991281,
1993-10-25 00:00:00,0.003877014,
1993-10-26 00:00:00,-0.000861164,
1993-10-27 00:00:00,0.00047009,
