,AUDCAD,AUDCHF,AUDJPY,AUDNOK,AUDNZD,AUDSEK,AUDUSD,CADCHF,CADJPY,CADNOK,CADSEK,CHFJPY,CHFNOK,CHFSEK,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNOK,EURNZD,EURSEK,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNOK,GBPNZD,GBPSEK,GBPUSD,NOKJPY,NOKSEK,NZDCAD,NZDCHF,NZDJPY,NZDNOK,NZDSEK,NZDUSD,SEKJPY,USDCAD,USDCHF,USDJPY,USDNOK,USDSEK,
1992-01-14,0.005760702,0.010531352,0.002759567,0.008505775,0.006050866,0.007093143,0.005155131,0.004771333,-0.003006668,0.002753437,0.001347222,-0.007784816,-0.002011926,-0.003413088,-0.014824759,-0.009059418,-0.004281836,-0.005657741,-0.012078099,-0.006289771,-0.008769836,-0.007687322,-0.009686748,-0.009163776,-0.003394637,0.001384878,-0.006409473,-0.000631787,-0.003104594,-0.002036457,-0.004014185,-0.005775478,-0.001405216,-0.00028981,0.004481301,-0.003296557,0.00246384,0.001057969,-0.000903874,-0.004370185,0.000612023,0.005376467,-0.002389764,0.003360655,0.001955725,
1992-01-15,-0.001045478,0.017796208,0.007613393,0.015970962,0.003093276,0.015948907,-0.006094385,0.01884056,0.008659389,0.017014127,0.016991005,-0.010203209,-0.00180345,-0.00180715,-0.012183302,-0.013230347,0.005629875,0.000166168,-0.004575089,0.00381803,-0.009088537,0.003808482,-0.018300316,-0.012356791,-0.013404449,0.005466596,-0.00474436,0.003653926,-0.009260258,0.003644542,-0.018477564,-0.008405985,-5.59424E-06,-0.004138165,0.014702057,0.00451695,0.012880789,0.012861902,-0.009190737,-0.008409089,0.005033702,0.023848542,0.013686203,0.022018346,0.021990109,
1992-01-16,-0.001052179,-0.003058598,-0.000384394,0.00298753,0.000202575,0.002604742,0.001201584,-0.002006475,0.00066867,0.004038138,0.003654395,0.002677574,0.006043164,0.005657524,0.002659598,0.001606681,-0.00040178,0.004530944,0.002277332,0.005646245,0.002862598,0.005260737,0.003865637,-0.00187851,-0.002932216,-0.004941101,-0.002265158,0.001115455,-0.001675841,0.000733953,-0.000677745,-0.003382727,-0.000380438,-0.001254623,-0.003260817,-0.00058708,0.002784959,0.00240239,0.000998667,-0.00300409,-0.002249303,-0.004252913,-0.001583442,0.001786685,0.001405436,
1992-01-17,0.000200796,-0.016116715,-0.006222498,-0.012961656,-0.005195045,-0.012240403,0.000458975,-0.016316739,-0.006423167,-0.013161603,-0.012440219,0.009910408,0.003137718,0.003845811,0.004038812,0.004239945,-0.012090741,-0.009815356,-0.002184994,-0.008937669,-0.001159863,-0.008219147,0.004503044,0.013873456,0.014075125,-0.00226487,0.007655037,0.000879025,0.008673141,0.001589876,0.014349775,0.006773624,0.000711499,0.005395117,-0.010921624,-0.001023351,-0.007772565,-0.007055669,0.005659362,0.006064798,-0.000257341,-0.016554694,-0.006673137,-0.013403032,-0.012682356,
1992-01-20,0.011180308,0.01154296,-0.017752639,0.006354178,0.011049538,0.006268379,0.012225252,0.000363428,-0.028939231,-0.004815216,-0.004893826,-0.029305102,-0.005178623,-0.005256953,-0.006167445,0.005019412,0.005382767,-0.000361846,-0.023935287,0.000196369,0.004888342,0.000114532,0.006059253,-0.005807576,0.005383673,0.005747176,-0.023582255,0.000558457,0.005252563,0.000476392,0.006424192,-0.024139873,-8.17067E-05,0.000131151,0.000494553,-0.028806948,-0.004684025,-0.00476272,0.001165898,-0.024073796,-0.001032875,-0.000669784,-0.029945569,-0.005842748,-0.005920697,
1992-01-21,0.001145268,-0.01008719,-0.006008187,-0.010508441,-0.000272517,-0.011119238,-0.001115448,-0.011232019,-0.007153892,-0.011652319,-0.01226242,0.004085658,-0.000429479,-0.001046237,0.009124578,0.010270761,-0.000968434,-0.000787228,0.003118678,-0.00139731,0.008852495,-0.002013792,0.008016392,0.009915996,0.011062607,-0.000180613,0.003908432,-0.000610252,0.009643865,-0.001227395,0.008808063,0.004519285,-0.000617464,0.001417685,-0.009814062,-0.005735144,-0.010235512,-0.010846434,-0.000842651,0.005140869,0.002257738,-0.008964964,-0.004888772,-0.009386811,-0.009997768,
1992-01-22,0.002440914,0.002332036,0.002332302,0.003782856,0.003821014,0.003483606,0.001139428,-0.000108733,-0.000109882,0.001343817,0.001045783,-1.09089E-06,0.001452561,0.001154465,-0.004780637,-0.002338651,-0.002447301,-0.002432334,-0.002449855,-0.000992228,-0.000958008,-0.001289177,-0.003644451,-0.002347104,9.5732E-05,-1.3091E-05,-1.42584E-05,0.001440709,0.001476885,0.001142503,-0.001208679,-0.001456758,-0.000297482,-0.001379909,-0.001488558,-0.001490508,-3.50488E-05,-0.000332392,-0.0026842,-0.001159622,0.001301235,0.001192502,0.001192177,0.002642923,0.002344354,
1992-01-23,-0.005496759,0.001566796,-0.001071022,-0.001198817,-0.00892166,-0.000877713,-0.00792591,0.007063089,0.004428177,0.004293985,0.004612654,-0.0026387,-0.002764664,-0.002442855,0.005551621,5.25913E-05,0.007118962,0.001589534,0.004482801,0.004348611,-0.003373676,0.004667453,-0.002373945,0.003961883,-0.001538617,0.005529674,0.002891941,0.002759723,-0.004965822,0.003079408,-0.003966946,0.000129109,0.000320856,0.003424491,0.010487222,0.00785414,0.007715978,0.008033132,0.001001484,-0.000192502,0.002422019,0.009480254,0.006848427,0.006711332,0.007028653,
1992-01-24,-0.00158478,-0.013580988,-0.015591548,-0.011927846,-0.005623416,-0.011733618,-0.008305436,-0.011995973,-0.014005826,-0.010343782,-0.01015018,-0.002005023,0.001645448,0.00183443,0.011904562,0.010319444,-0.001681596,-0.000739703,-0.003688155,-3.45381E-05,0.006279533,0.000155182,0.003603152,0.012647515,0.011062058,-0.00094168,-0.00294846,0.000705374,0.007021256,0.000894881,0.004344645,-0.003654422,0.000189797,0.004038325,-0.00795747,-0.009965608,-0.00630763,-0.00611561,-0.002678697,-0.003846197,0.006711553,-0.005277575,-0.007283306,-0.003630298,-0.003439496,
1992-01-27,0.00533673,0.017648873,0.016539734,0.014163837,0.003590857,0.013435385,0.000113635,0.012312052,0.011201715,0.008828755,0.008101471,-0.001113211,-0.003479345,-0.004203907,-0.016240719,-0.010903019,0.001412066,-0.001852582,0.000298746,-0.002068238,-0.012649503,-0.002793092,-0.016133043,-0.014389528,-0.009051114,0.003265547,0.0021524,-0.000215648,-0.010797807,-0.0009409,-0.014281348,0.002368161,-0.000725302,0.001745874,0.014057745,0.012947835,0.010573916,0.009846247,-0.003478261,0.00309406,0.005220875,0.017528751,0.01642028,0.014044515,0.013316043,
